id,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,sale_year,effective_year,house_age,living_to_lot_ratio,lat_long_interaction,dist_to_center,geo_cluster
2591820310,2014-10-06,4,2.25,2070,8893,2.0,0,0,4,8,2070,0,1986,0,98058,47.4388,-122.162,2390,7700,2014,1986,28,0.2327673451028899,-5795.218685600001,0.1300478672086416,1
7974200820,2014-08-21,5,3.0,2900,6730,1.0,0,0,5,8,1830,1070,1977,0,98115,47.6784,-122.285,2370,6283,2014,1977,37,0.4309063893016345,-5830.353144000001,0.13983094346969224,4
7701450110,2014-08-15,4,2.5,3770,10893,2.0,0,2,3,11,3770,0,1997,0,98006,47.5646,-122.129,3710,9685,2014,1997,17,0.3460938217203709,-5809.0170334,0.08483912973425976,0
9522300010,2015-03-31,3,3.5,4560,14608,2.0,0,2,3,12,4560,0,1990,0,98034,47.6995,-122.228,4050,14226,2015,1990,25,0.312157721796276,-5830.214486,0.1420573440323356,4
9510861140,2014-07-14,3,2.5,2550,5376,2.0,0,0,3,9,2550,0,2004,0,98052,47.6647,-122.083,2250,4050,2014,2004,10,0.47433035714285715,-5819.0495701,0.16853126637257937,0
1761300310,2014-08-27,4,2.0,1710,8288,1.5,0,0,3,7,1710,0,1970,0,98031,47.3947,-122.174,1710,7200,2014,1970,44,0.2063223938223938,-5790.4000778,0.16820174717449016,1
7732410120,2014-08-19,4,2.5,2690,8036,2.0,0,0,4,9,2690,0,1987,0,98007,47.6596,-122.144,2420,8087,2014,1987,27,0.33474365355898456,-5821.3341824,0.12300647360152744,0
7010701383,2014-10-17,3,2.5,1800,4400,1.0,0,0,5,7,1350,450,1970,0,98199,47.6599,-122.396,1920,4400,2014,1970,44,0.4090909090909091,-5833.3811204,0.2088526164420852,4
291310170,2014-08-04,3,2.5,1600,2610,2.0,0,0,3,8,1600,0,2005,0,98027,47.5344,-122.068,1445,1288,2014,2005,9,0.6130268199233716,-5802.4291392,0.14752385347196859,0
4232901990,2014-05-16,2,1.0,910,3600,1.0,0,0,4,7,910,0,1909,0,98119,47.6341,-122.361,1720,3600,2014,1909,105,0.25277777777777777,-5828.556110099999,0.16580929152201213,4
6840701125,2015-04-22,3,1.0,1830,4400,1.5,0,0,4,8,1720,110,1930,0,98122,47.6052,-122.3,1650,4400,2015,1930,85,0.4159090909090909,-5822.11596,0.098372282485857,2
3971700580,2015-03-03,3,1.75,1930,14389,1.0,0,0,3,7,1130,800,1963,1998,98155,47.7733,-122.317,1730,14378,2015,1998,17,0.13413023837653762,-5843.4867361,0.2386866690725784,4
4202400078,2015-01-28,2,1.0,1410,7000,1.0,0,0,3,7,1410,0,1968,0,98055,47.4908,-122.223,1540,6000,2015,1968,47,0.20142857142857143,-5804.4680484,0.06802804582458136,2
6064800090,2015-05-07,3,2.25,1960,1985,2.0,0,0,3,7,1750,210,2003,0,98118,47.5419,-122.289,1760,1985,2015,2003,12,0.9874055415617129,-5813.8514091,0.07714085940932439,2
2626119028,2015-03-23,3,1.0,1140,3240,1.5,0,0,4,6,1140,0,1910,0,98014,47.7093,-121.364,1140,4700,2015,1910,105,0.35185185185185186,-5790.1914852,0.8629318006322002,3
3303980660,2014-06-03,4,3.75,4130,12320,2.0,0,0,3,11,4130,0,2001,0,98059,47.5194,-122.151,3690,11227,2014,2001,13,0.3352272727272727,-5804.542229399999,0.0736320784172073,0
862000020,2015-02-06,6,1.0,1430,20620,2.0,0,0,3,7,1430,0,1954,0,98004,47.6255,-122.209,2450,10080,2015,1954,61,0.06935014548981572,-5820.264729500001,0.06748180971725842,0
2386000070,2014-10-29,4,3.25,4360,91158,1.0,0,0,3,10,3360,1000,1993,0,98053,47.6398,-121.985,3540,90940,2014,1993,21,0.04782904407731631,-5811.3410030000005,0.24273145519635062,0
1138000450,2014-10-16,4,1.0,1440,7215,1.5,0,0,3,7,1440,0,1969,0,98034,47.7133,-122.212,1150,7215,2014,1969,45,0.1995841995841996,-5831.1378196,0.15513335744318274,4
1775800420,2015-02-02,4,2.25,1960,14834,1.0,0,0,4,8,1330,630,1976,0,98072,47.7434,-122.095,1540,15000,2015,1976,39,0.13212889308345693,-5829.230423,0.2199391853703004,0
2291401425,2014-09-10,5,2.0,1910,5508,1.0,0,0,3,7,1020,890,1968,0,98133,47.7074,-122.349,1030,7440,2014,1968,46,0.3467683369644154,-5836.9526826,0.20150069501585385,4
2025770560,2014-11-03,4,4.25,5710,24663,2.0,0,0,3,11,5710,0,2007,0,98092,47.3065,-122.158,4060,23847,2014,2007,7,0.2315209017556664,-5778.867427,0.2577422863602058,1
3525069037,2014-11-20,3,2.75,2590,223027,2.0,0,0,3,9,2590,0,1983,0,98074,47.6145,-122.001,3410,212137,2014,1983,31,0.011612943724302438,-5809.0166145,0.21993035540625536,0
9324800450,2014-10-09,3,1.5,2790,6900,1.0,0,2,3,8,1700,1090,1955,0,98125,47.7328,-122.288,2410,8100,2014,1955,59,0.4043478260869565,-5837.1486464,0.1898156381678182,4
8080400136,2014-06-20,3,3.25,1530,1565,2.0,0,0,3,8,1280,250,2005,0,98122,47.6179,-122.312,1530,1381,2014,2005,9,0.9776357827476039,-5824.2405848,0.11511100428404487,4
8651540040,2014-07-18,3,2.25,1920,10961,2.0,0,0,3,8,1920,0,1981,0,98074,47.6432,-122.057,2000,10706,2014,1981,33,0.17516649940698842,-5815.1860624,0.17818928466100306,0
9407001790,2014-08-26,3,1.0,1010,10800,1.0,0,0,4,7,1010,0,1972,0,98045,47.4483,-121.773,1370,9500,2014,1972,42,0.09351851851851851,-5777.921835900001,0.4540890437021263,3
